Country,Agency (native language),Abbreviation (native language),Agency (english),Abbreviation (english),Direct Parent,url description,url,url 2 description,url 2,url 3 description,url 3,url 4 description,url 4,url 5 description,url 5,url 6 description,url 6,url 7 description,url 7,Description
CN,中华全国工商联,,All-China Federation of Industry and Commerce,ACFIC,,,,,,,,,,,,,,,,"The All-China Federation of Industry and Commerce (ACFIC) is a nominally nongovernmental chamber of commerce for China’s private entrepreneurs, industrialists, and other business leaders, comprising over 4.5 million members. It functions as an institutional structure for the CCP to contact, consult, and control the private sector. ACFIC is part of the party’s United Front architecture under the CPPCC, which aims to mobilize nonparty personnel and social groups to support the party’s objectives. The federation is a permanent constituent of the CPPCC and is allocated seats in the CPPCC National Committee and the NPC. ACFIC has a ministerial-level Party Secretary and a Chairman, often a member of the China National Democratic Construction Association satellite party, who also serves as deputy national-level CPPCC Vice Chair. A ministerial-level CPPCC Economics Affairs Committee manages political advisory and community consultation work on economic policies. Legislative work on the economy is supervised by the ministerial-level NPC Financial and Economic Affairs Committee, although the most substantive input on new laws comes from party bodies and State Council agencies."
CN,中共中央外事委员会,,CCP Central Foreign Affairs Commission,CFAC,CCP,,,,,,,,,,,,,,,"The CCP Central Foreign Affairs Commission (CFAC) is the top party institution dedicated to foreign affairs in the Chinese party-state. The party leadership uses the CFAC to make decisions, assign responsibilities, and oversee implementation of a wide variety of foreign-related policies that include traditional diplomacy but also touch on party-to-party diplomacy, external propaganda, foreign trade, overseas intelligence, domestic counterespionage, and the international dimensions of Hong Kong, Macao, and Taiwan affairs. CFAC meetings are rarely publicized, but the few official readouts that exist show that its membership usually consists of national leaders, including the CCP General Secretary, the Premier, and the Vice President; the Directors of the party’s International Liaison Department and Propaganda Department; the Propaganda Department Deputy who serves as Director of the State Council Information Office; the Ministers of Foreign Affairs, National Defense, Public Security, State Security, and Commerce; and the Heads of party and state agencies responsible for Hong Kong, Macao, Taiwan, and overseas Chinese.

 

The administrative agency of the CFAC is the Central Foreign Affairs Office (CFAO), which is classified at the ministerial level but is more influential than its ministerial-level rank suggests because it is led by a deputy national-level leader with a Politburo seat. The CFAO is responsible for executing CFAC decisions; coordinating the implementation of CFAC directives; conducting research and making suggestions on international affairs and foreign policy management; drafting and overseeing foreign-related laws and regulations; handling foreign-related inquiries from party, state, and local authorities; and organizing central work on maritime rights and interests. Like the CFAC, the CFAO’s activities are mostly invisible to those outside the system. Since its founding in 2018, the CFAO has been led by a Politburo member who is the country’s top-ranked professional diplomat.

 

The CFAC’s main potential competitor for influence in central decision-making on foreign affairs is the CCP Central National Security Commission (CNSC) that Xi announced in November 2013. Previously, the Central Leading Group for Foreign Affairs functioned simultaneously as the Central Leading Group on National Security, which helps explain the somewhat overlapping responsibilities of the CNSC and the CFAC. For Beijing, national security is a concept that encompasses both international and domestic security, and the CNSC plays a role in shaping China’s foreign policy. There is limited information available about the operation of the CNSC, but it appears that the CNSC plays a leading role in responding to problems or crises that arise in China’s foreign affairs (especially those with a security dimension), while the CFAC focuses on the overall strategy of Chinese foreign policy."
CN,中央外事办公室,,Central Foreign Affairs Office,CFAO,CFAC,,,,,,,,,,,,,,,"The administrative agency of the CFAC is the Central Foreign Affairs Office (CFAO), which is classified at the ministerial level but is more influential than its ministerial-level rank suggests because it is led by a deputy national-level leader with a Politburo seat. The CFAO is responsible for executing CFAC decisions; coordinating the implementation of CFAC directives; conducting research and making suggestions on international affairs and foreign policy management; drafting and overseeing foreign-related laws and regulations; handling foreign-related inquiries from party, state, and local authorities; and organizing central work on maritime rights and interests. Like the CFAC, the CFAO’s activities are mostly invisible to those outside the system. Since its founding in 2018, the CFAO has been led by a Politburo member who is the country’s top-ranked professional diplomat."
CN,中共中央国家安全委员会,,CCP Central National Security Commission,CNSC,CCP,,,,,,,,,,,,,,,"The CFAC’s main potential competitor for influence in central decision-making on foreign affairs is the CCP Central National Security Commission (CNSC) that Xi announced in November 2013. Previously, the Central Leading Group for Foreign Affairs functioned simultaneously as the Central Leading Group on National Security, which helps explain the somewhat overlapping responsibilities of the CNSC and the CFAC. For Beijing, national security is a concept that encompasses both international and domestic security, and the CNSC plays a role in shaping China’s foreign policy. There is limited information available about the operation of the CNSC, but it appears that the CNSC plays a leading role in responding to problems or crises that arise in China’s foreign affairs (especially those with a security dimension), while the CFAC focuses on the overall strategy of Chinese foreign policy."
CN,CCP 国际联络部,,CCP International Liaison Department,ILD,CCP,,,,,,,,,,,,,,,"The other major foreign affairs institution is the ministerial-level CCP International Liaison Department (ILD), which handles the party’s relationships with foreign political parties and other foreign political organizations. Originally, the ILD focused on the party’s relations with foreign communist parties. After the Cold War, however, the number of ruling communist parties dwindled to those in Cambodia, Cuba, Laos, North Korea, and Vietnam. Xi has boosted the ILD’s profile significantly since 2017 by launching a series of high-level summits between the CCP and hundreds of foreign political parties. He wants to forge a “new type of political party relationship” that would see more foreign politicians studying and learning from China’s governance and modernization. The ILD now claims to maintain relations with more than 600 political parties from over 160 countries."
CN,外交部,,Ministry of Foreign Affairs,MOFA,SC,,,,,,,,,,,,,,,"The highest state institution focused on foreign policy is the Ministry of Foreign Affairs (MOFA). MOFA handles traditional diplomacy and is often at the center of overseas discussions about China’s international relations, but it is not the most important institution in Chinese foreign policymaking. Like other State Council ministries under Xi’s leadership, MOFA is more of an implementer of policy than a designer of it, especially in an era when “Xi Jinping Thought on Diplomacy” is the official creed. MOFA has also come under pressure from an increasingly nationalistic Chinese public and polity to assert and defend China’s interests abroad more forcefully. In September 2019, following years of hostile US policy toward China, Xi urged China’s diplomats to show “fighting spirit” and “dare to struggle.” These instructions fed into what became known as “wolf warrior” diplomacy, an assertive and unapologetic approach to defending Beijing’s narratives and criticizing foreign opponents.

 

Since 2018, the Foreign Minister has also served as a State Councilor, an appointment that raises the position from full ministerial rank to deputy national rank, moving from the ranks of the top few hundred leaders to the top few dozen. State Councilors also attend the frequent gatherings of the State Council Executive Meeting, which are chaired by the Premier and include the Vice Premiers, providing the foreign affairs bureaucracy with a greater voice in government decision-making. This move shifted the Foreign Minister’s status closer to its higher standing in the 1990s, when Foreign Minister Qian Qichen served concurrently as a Vice Premier on the Politburo."
CN,国家推进“一带一路”建设领导小组,,State Leading Group for Promoting the Belt and Road Initiative,LGPBRI,SC,,,,,,,,,,,,,,,"The State Council does not have its own coordination body dedicated to foreign affairs, but it does run the State Leading Group for Promoting the Belt and Road Initiative (LGPBRI), Xi’s signature policy to enhance China’s international influence through expanded infrastructure connectivity. The group is likely now led by Executive Vice Premier Ding Xuexiang, who is also a member of the Politburo Standing Committee, but the group’s status as embedded in the state—rather than the party—signals that the initiative is only one of many priorities in Xi’s foreign policy. The fact that many in the group are internally focused Politburo members shows that domestic interests (such as finding external markets to accommodate overcapacity in state-owned enterprises) are significant drivers of the Belt and Road Initiative (BRI)."
CN,中国国际发展合作署,,China International Development Cooperation Agency,CIDCA,SC,,,,,,,,,,,,,,,"The China International Development Cooperation Agency (CIDCA) is a deputy ministerial-level agency directly under the State Council that was founded in March 2018 to serve as the country’s dedicated foreign aid agency. CIDCA is responsible for foreign aid policy; foreign aid reform; and the planning, negotiation, monitoring, and evaluation of foreign aid projects. The implementation of foreign aid projects remains the responsibility of the various governments departments assigned to these tasks. Its operations are supervised by the Foreign Minister in their capacity as a State Councilor.

 

China’s on-the-ground foreign relations are also shaped by various quasi-governmental or nongovernmental actors, especially the state-owned enterprises and private firms that operate overseas infrastructure projects and produce goods and services that are sold to foreign consumers or into international supply chains. A small number of influential intellectuals in universities, official research institutes, or even independent think tanks also influence foreign policy through their public scholarship, reports written for the leadership, or even official briefings delivered to the Politburo."
CN,中共中央台湾事务领导小组,,CCP Central Taiwan Affairs Leading Group,CTALG,CCP,,,,,,,,,,,,,,,"The top policy coordination body on cross-Strait relations is the CCP Central Taiwan Affairs Leading Group (CTALG), although Beijing does not consider this part of the foreign affairs system because it sees Taiwan as part of its sovereign territory. The General Secretary chairs the group, reflecting the high importance of Taiwan affairs, but it is notable that since its founding in 1979, the body has not been upgraded to a commission like the CFAC. Other members include the Chairman of the Chinese People’s Political Consultative Conference (CPPCC) as Deputy Director; the CFAO Director as Secretary-General; a Vice Premier; a Vice Chairman of the Central Military Commission; the Directors of the CCP General Office, Propaganda Department, and United Front Work Department; the Ministers of Foreign Affairs, Commerce, and State Security; and the Director of the CTALG’s administrative agency."
CN,国务院台湾事务办公室,,State Council Taiwan Affairs Office,TAO,CTALG,,,,,,,,,,,,,,,"The State Council Taiwan Affairs Office (TAO), the external name of the CCP Central Taiwan Work Office, is a ministerial-level organ that functions as the administrative agency of the CTALG. It is somewhat more outward facing than most such agencies because it also handles mail, transport, and trade links with Taiwan; preparations for meetings with Taiwanese politicians and officials; Taiwan-related propaganda and political influence work; and a wide range of cultural, economic, and scholarly exchanges between the mainland and Taiwan."
CN,国家能源委员会,,National Energy Commission,NEC,NEC,,,,,,,,,,,,,,,"The National Energy Commission (NEC) is the top agency under the State Council responsible for energy policy. It was founded in 2010, two years after the National Energy Administration (NEA) (please see below), to elevate the political profile of energy strategy and energy security within the Chinese government. The NEC is responsible for formulating energy development strategies, considering major energy security issues, and coordinating both domestic energy development and international energy cooperation. The NEC is a relatively powerful State Council body, as the Premier serves as Chairman, the Executive Vice Premier serves as Vice Chairman, and roughly half of all State Council ministers are members. Its General Office sits in the powerful NDRC, with the NDRC Chairman serving as Director and the NEA Director serving as Deputy Director."
CN,国家能源局,,National Energy Administration,NEA,NDRC,,,,,,,,,,,,,,,"The National Energy Administration (NEA) is a deputy ministerial-level bureau under the State Council that is administered by the NDRC. It reports to both the NDRC and the higher-ranking NEC and is responsible for formulating and implementing laws, regulation, industry plans, reform plans, industrial policies, and standards for the energy industry, plus developing new energy sources and promoting energy conservation. Specific responsibilities include regulating the electric power market and making industrial policy and related standards for coal, oil, natural gas, nuclear power, new energy, renewable energy, energy refining, coal-based fuels, and fuel ethanol. In 2018, the NEA lost the responsibility for everyday management of energy reserves to another NDRC-administered deputy ministerial-level State Council bureau, the newly created National Food and Strategic Reserves Administration."
CN,人民日报（英文版）,,People's Daily (English),RMRB,CCP,,https://en.people.cn/,,,,,,,,,,,,,The People's Daily is the official newspaper of the Central Committee of the Chinese Communist Party (CCP). It provides direct information on the policies and viewpoints of the CCP in multiple languages. It is the largest newspaper in the People's Republic of China (PRC).
CN,人民日报,,People's Daily,RMRB,CCP,,http://www.people.com.cn/,,,,,,,,,,,,,The People's Daily is the official newspaper of the Central Committee of the Chinese Communist Party (CCP). It provides direct information on the policies and viewpoints of the CCP in multiple languages. It is the largest newspaper in the People's Republic of China (PRC).
